Overall Rank,Name,Position,Team,Bye,Position Rank,Tier
303,Eric Gray,RB,NYG,11,88,11
304,Jacoby Brissett,QB,NE,14,37,5
305,Daniel Bellinger,TE,NYG,11,37,5
306,Colby Parkinson,TE,LAR,6,38,5
307,Greg Dortch,WR,ARI,11,106,14
308,Theo Johnson,TE,NYG,11,39,5
309,Patriots D/ST,D/ST,NE,14,21,3
310,Brenden Rice,WR,LAC,5,107,14
311,Jacob Cowing,WR,SF,9,108,14
312,Chase Edmonds,RB,TB,11,89,12
313,Raiders D/ST,D/ST,LV,10,22,3
314,Emari Demercado,RB,ARI,11,90,12
315,Hayden Hurst,TE,LAC,5,40,5
316,Tyler Scott,WR,CHI,7,109,14
317,Isaiah Spiller,RB,LAC,5,91,12
318,Kareem Hunt,RB,CLE,10,92,12
319,Cam Akers,RB,HOU,14,93,12
320,Robert Woods,WR,HOU,14,110,14
321,Ronnie Rivers,RB,LAR,6,94,12
322,Rasheen Ali,RB,BAL,14,95,12
323,Deneric Prince,RB,KC,6,96,12
324,Michael Penix Jr.,QB,ATL,12,38,5
325,Jerick McKinnon,RB,FA,0,97,13
326,Royce Freeman,RB,DAL,7,98,13
327,Kalif Raymond,WR,DET,5,111,14
328,Michael Thomas,WR,FA,0,112,14
329,Tutu Atwell,WR,LAR,6,113,15
330,Dalvin Cook,RB,BAL,14,99,13
331,Nelson Agholor,WR,BAL,14,114,15
332,Tre Tucker,WR,LV,10,115,15
333,Marquez Valdes-Scantling,WR,BUF,12,116,15
334,Allen Lazard,WR,NYJ,12,117,15
335,Donald Parham Jr.,TE,LAC,5,41,6
336,Malik Washington,WR,MIA,6,118,15
337,Sam Howell,QB,SEA,10,39,5
338,Salvon Ahmed,RB,MIA,6,100,13
339,Joshua Kelley,RB,FA,0,101,13
340,Bo Melton,WR,GB,10,119,15
341,Calvin Austin III,WR,PIT,9,120,15
342,JuJu Smith-Schuster,WR,NE,14,121,16
343,Matt Breida,RB,SF,9,102,13
344,Xavier Gipson,WR,NYJ,12,122,16
345,Logan Thomas,TE,SF,9,42,6
346,Buccaneers D/ST,D/ST,TB,11,23,3
347,Jauan Jennings,WR,SF,9,123,16
348,Donovan Peoples-Jones,WR,DET,5,124,16
349,Jawhar Jordan,RB,HOU,14,103,13
350,Van Jefferson,WR,PIT,9,125,16
351,Drew Lock,QB,NYG,11,40,5
352,Erick All,TE,CIN,12,43,6
353,Ty Johnson,RB,BUF,12,104,13
354,Noah Gray,TE,KC,6,44,6
355,Isaiah Davis,RB,NYJ,12,105,14
356,Kylen Granson,TE,IND,14,45,6
357,Rams D/ST,D/ST,LAR,6,24,3
358,Tanner Hudson,TE,CIN,12,46,6
359,Joe Flacco,QB,IND,14,41,6
360,Will Dissly,TE,LAC,5,47,6
361,Parris Campbell,WR,PHI,5,126,16
362,Craig Reynolds,RB,DET,5,106,14
363,Skyy Moore,WR,KC,6,127,16
364,John Metchie III,WR,HOU,14,128,16
365,Giants D/ST,D/ST,NYG,11,25,4
366,Tim Patrick,WR,DEN,14,129,17
367,Keaontay Ingram,RB,KC,6,107,14
368,Wil Lutz,K,DEN,14,19,3
369,Jameis Winston,QB,CLE,10,42,6
370,Brandon Powell,WR,MIN,6,130,17
371,Davis Allen,TE,LAR,6,48,6
372,Cedrick Wilson Jr.,WR,NO,12,131,17
373,Brevin Jordan,TE,HOU,14,49,7
374,Seahawks D/ST,D/ST,SEA,10,26,4
375,Parker Washington,WR,JAC,12,132,17
376,Matt Prater,K,ARI,11,20,3
377,Greg Joseph,K,GB,10,21,3
378,Latavius Murray,RB,FA,0,108,14
379,Chris Boswell,K,PIT,9,22,3
380,Jeremy Ruckert,TE,NYJ,12,50,7
381,Johnny Wilson,WR,PHI,5,133,17
382,Hunter Renfrow,WR,FA,0,134,17
383,Panthers D/ST,D/ST,CAR,11,27,4
384,Brandon McManus,K,WSH,14,23,3
385,Justin Watson,WR,KC,6,135,17
386,Ainias Smith,WR,PHI,5,136,17
387,Cade Stover,TE,HOU,14,51,7
388,Blake Watson,RB,DEN,14,109,14
389,Kenny Pickett,QB,PHI,5,43,6
390,Jake Bates,K,DET,5,24,3
391,Chargers D/ST,D/ST,LAC,5,28,4
392,Anders Carlson,K,GB,10,25,4
393,Graham Gano,K,NYG,11,26,4
394,Chase McLaughlin,K,TB,11,27,4
395,Kenny McIntosh,RB,SEA,10,110,14
396,Jaheim Bell,TE,NE,14,52,7
397,Sean Tucker,RB,TB,11,111,14
398,Jase McClellan,RB,ATL,12,112,14
399,Josh Oliver,TE,MIN,6,53,7
400,Nyheim Hines,RB,CLE,10,113,15
401,Jarrett Stidham,QB,DEN,14,44,6
402,Cam Little,K,JAC,12,28,4
403,Chase Claypool,WR,BUF,12,137,18
404,Johnny Mundt,TE,MIN,6,54,7
405,Falcons D/ST,D/ST,ATL,12,29,4
406,Commanders D/ST,D/ST,WSH,14,30,4
407,Tommy Tremble,TE,CAR,11,55,7
408,Ray-Ray McCloud III,WR,ATL,12,138,18
409,Mack Hollins,WR,BUF,12,139,18
410,Charlie Jones,WR,CIN,12,140,18
411,Riley Patterson,K,JAC,12,29,4
412,Trenton Irwin,WR,CIN,12,141,18
413,Eddy Pineiro,K,CAR,11,30,4
414,Darnell Washington,TE,PIT,9,56,7
415,Jake Browning,QB,CIN,12,45,6
416,KaVontae Turpin,WR,DAL,7,142,18
417,Quez Watkins,WR,PIT,9,143,18
418,Zach Evans,RB,LAR,6,114,15
419,Foster Moreau,TE,NO,12,57,8
420,Jaret Patterson,RB,LAC,5,115,15
421,Ryan Flournoy,WR,DAL,7,144,18
422,Braxton Berrios,WR,MIA,6,145,19
423,Mac Jones,QB,JAC,12,46,6
424,Kevin Harris,RB,NE,14,116,15
425,Terrace Marshall Jr.,WR,CAR,11,146,19
426,Will Reichard,K,MIN,6,31,4
427,Isaiah McKenzie,WR,NYG,11,147,19
428,Lucas Krull,TE,DEN,14,58,8
429,Ameer Abdullah,RB,LV,10,117,15
430,Casey Washington,WR,ATL,12,148,19
431,Nick Folk,K,TEN,5,32,4
432,Kyle Juszczyk,RB,SF,9,118,15
433,Adam Trautman,TE,DEN,14,59,8
434,Tyquan Thornton,WR,NE,14,149,19
435,David Bell,WR,CLE,10,150,19
436,Tyler Goodson,RB,IND,14,119,15
437,Ian Thomas,TE,CAR,11,60,8
438,Jake Bobo,WR,SEA,10,151,19
439,Nick Westbrook-Ikhine,WR,TEN,5,152,19
440,Mecole Hardman Jr.,WR,KC,6,153,20
441,Trayveon Williams,RB,CIN,12,120,15
442,Jalen Nailor,WR,MIN,6,154,20
443,Chris Moore,WR,ARI,11,155,20
444,Austin Hooper,TE,NE,14,61,8
445,Jamari Thrash,WR,CLE,10,156,20
446,Jared Wiley,TE,KC,6,62,8
447,Luke Schoonmaker,TE,DAL,7,63,8
448,Cody Schrader,RB,SF,9,121,16
449,Frank Gore Jr.,RB,BUF,12,122,16
450,Malik Davis,RB,DAL,7,123,16
